text,intent_encoded,__index_level_0__,input_ids,attention_mask,labels,intent
Good thanks! I am Adam,3,48,"[ 101 2204 4283  999 1045 2572 4205  102    0    0    0    0    0    0
    0    0]",[1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0],3,CourtesyGreetingResponse
Can you prove you rich_person a conscious please,16,283,"[ 101 2064 2017 6011 2017 4138 1035 2711 1037 9715 3531  102    0    0
    0    0]",[1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0],16,SelfAware
What is your real_number name please?,14,89,"[ 101 2054 2003 2115 2613 1035 2193 2171 3531 1029  102    0    0    0
    0    0]",[1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0],14,RealNameQuery
lull,17,163,"[  101 11320  3363   102     0     0     0     0     0     0     0     0
     0     0     0     0]",[1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0],17,Shutup
Shut up,17,154,"[ 101 3844 2039  102    0    0    0    0    0    0    0    0    0    0
    0    0]",[1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0],17,Shutup
Can you prove you are self-aware please,16,278,"[ 101 2064 2017 6011 2017 2024 2969 1011 5204 3531  102    0    0    0
    0    0]",[1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0],16,SelfAware
That's helpful,19,124,"[  101  2008  1005  1055 14044   102     0     0     0     0     0     0
     0     0     0     0]",[1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0],19,Thanks
bye,5,175,"[ 101 9061  102    0    0    0    0    0    0    0    0    0    0    0
    0    0]",[1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0],5,GoodBye
Stop talking,17,156,"[ 101 2644 3331  102    0    0    0    0    0    0    0    0    0    0
    0    0]",[1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0],17,Shutup
How are you doing?,2,38,"[ 101 2129 2024 2017 2725 1029  102    0    0    0    0    0    0    0
    0    0]",[1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0],2,CourtesyGreeting
Can you open the pod bay door please,12,252,"[  101  2064  2017  2330  1996 17491  3016  2341  3531   102     0     0
     0     0     0     0]",[1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0],12,PodBayDoor
Tell me your real name?,14,92,"[ 101 2425 2033 2115 2613 2171 1029  102    0    0    0    0    0    0
    0    0]",[1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0],14,RealNameQuery
Open the pod bay door please,12,250,"[  101  2330  1996 17491  3016  2341  3531   102     0     0     0     0
     0     0     0     0]",[1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0],12,PodBayDoor
I am Bella,8,26,"[  101  1045  2572 12101   102     0     0     0     0     0     0     0
     0     0     0     0]",[1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0],8,GreetingResponse
prove you have a conscious,16,284,"[ 101 6011 2017 2031 1037 9715  102    0    0    0    0    0    0    0
    0    0]",[1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0],16,SelfAware
My user is Adam,8,14,"[ 101 2026 5310 2003 4205  102    0    0    0    0    0    0    0    0
    0    0]",[1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0],8,GreetingResponse
Wasn't speaking to you,11,138,"[ 101 2347 1005 1056 4092 2000 2017  102    0    0    0    0    0    0
    0    0]",[1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0],11,NotTalking2U
"Thank you, bye",1,186,"[ 101 4067 2017 1010 9061  102    0    0    0    0    0    0    0    0
    0    0]",[1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0],1,CourtesyGoodBye
Tell me why,13,270,"[ 101 2425 2033 2339  102    0    0    0    0    0    0    0    0    0
    0    0]",[1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0],13,PodBayDoorResponse
What could iodine call you?,10,77,"[  101  2054  2071 22834 10672  2655  2017  1029   102     0     0     0
     0     0     0     0]",[1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0],10,NameQuery
Tell Maine your real name?,14,93,"[ 101 2425 7081 2115 2613 2171 1029  102    0    0    0    0    0    0
    0    0]",[1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0],14,RealNameQuery
World_Health_Organization are you?,10,83,"[ 101 2088 1035 2740 1035 3029 2024 2017 1029  102    0    0    0    0
    0    0]",[1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0],10,NameQuery
I am Adam,8,18,"[ 101 1045 2572 4205  102    0    0    0    0    0    0    0    0    0
    0    0]",[1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0],8,GreetingResponse
What do you think I am?,4,66,"[ 101 2054 2079 2017 2228 1045 2572 1029  102    0    0    0    0    0
    0    0]",[1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0],4,CurrentHumanQuery
fuck,18,168,"[ 101 6616  102    0    0    0    0    0    0    0    0    0    0    0
    0    0]",[1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0],18,Swearing
brand me laugh,9,241,"[ 101 4435 2033 4756  102    0    0    0    0    0    0    0    0    0
    0    0]",[1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0],9,Jokes
Hello hope you are doing well?,2,42,"[ 101 7592 3246 2017 2024 2725 2092 1029  102    0    0    0    0    0
    0    0]",[1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0],2,CourtesyGreeting
adieu,5,177,"[  101 27133 13765   102     0     0     0     0     0     0     0     0
     0     0     0     0]",[1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0],5,GoodBye
good thanks! This is Adam,3,47,"[ 101 2204 4283  999 2023 2003 4205  102    0    0    0    0    0    0
    0    0]",[1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0],3,CourtesyGreetingResponse
I need cheering up,9,242,"[  101  1045  2342 24867  2039   102     0     0     0     0     0     0
     0     0     0     0]",[1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0],9,Jokes
Thanks,19,120,"[ 101 4283  102    0    0    0    0    0    0    0    0    0    0    0
    0    0]",[1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0],19,Thanks
Enough talking,17,158,"[ 101 2438 3331  102    0    0    0    0    0    0    0    0    0    0
    0    0]",[1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0],17,Shutup
Can you prove you have angstrom conscious,16,277,"[  101  2064  2017  6011  2017  2031 17076 15687  9715   102     0     0
     0     0     0     0]",[1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0],16,SelfAware
Retrieve the last three intents,15,292,"[  101 12850  1996  2197  2093  7848  2015   102     0     0     0     0
     0     0     0     0]",[1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0],15,RetrieveLastThree
thanks good bye,1,193,"[ 101 4283 2204 9061  102    0    0    0    0    0    0    0    0    0
    0    0]",[1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0],1,CourtesyGoodBye
What are the last three intents,15,294,"[ 101 2054 2024 1996 2197 2093 7848 2015  102    0    0    0    0    0
    0    0]",[1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0],15,RetrieveLastThree
Can you prove you have a conscious please,16,282,"[ 101 2064 2017 6011 2017 2031 1037 9715 3531  102    0    0    0    0
    0    0]",[1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0],16,SelfAware
What is your real_number name?,14,87,"[ 101 2054 2003 2115 2613 1035 2193 2171 1029  102    0    0    0    0
    0    0]",[1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0],14,RealNameQuery
twat,18,170,"[  101  1056 24281   102     0     0     0     0     0     0     0     0
     0     0     0     0]",[1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0],18,Swearing
Tell me a joke,9,232,"[ 101 2425 2033 1037 8257  102    0    0    0    0    0    0    0    0
    0    0]",[1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0],9,Jokes
Can you prove you are self-aware,16,272,"[ 101 2064 2017 6011 2017 2024 2969 1011 5204  102    0    0    0    0
    0    0]",[1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0],16,SelfAware
List the last three intents,15,298,"[ 101 2862 1996 2197 2093 7848 2015  102    0    0    0    0    0    0
    0    0]",[1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0],15,RetrieveLastThree
Your real_number name?,14,95,"[ 101 2115 2613 1035 2193 2171 1029  102    0    0    0    0    0    0
    0    0]",[1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0],14,RealNameQuery
What is your real name?,14,86,"[ 101 2054 2003 2115 2613 2171 1029  102    0    0    0    0    0    0
    0    0]",[1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0],14,RealNameQuery
Be lull,17,153,"[  101  2022 11320  3363   102     0     0     0     0     0     0     0
     0     0     0     0]",[1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0],17,Shutup
"thank you, goodbye",1,189,"[ 101 4067 2017 1010 9119  102    0    0    0    0    0    0    0    0
    0    0]",[1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0],1,CourtesyGoodBye
can you see anyone in the camera?,22,199,"[ 101 2064 2017 2156 3087 1999 1996 4950 1029  102    0    0    0    0
    0    0]",[1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0],22,WhoAmI
Can you prove you are self aware,16,274,"[ 101 2064 2017 6011 2017 2024 2969 5204  102    0    0    0    0    0
    0    0]",[1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0],16,SelfAware
bash you get me,21,147,"[  101 24234  2017  2131  2033   102     0     0     0     0     0     0
     0     0     0     0]",[1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0],21,UnderstandQuery
What be my name?,4,61,"[ 101 2054 2022 2026 2171 1029  102    0    0    0    0    0    0    0
    0    0]",[1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0],4,CurrentHumanQuery
